epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,13,1975,151.923076923,1.94994560387
2,14,2005,143.214285714,1.36160040544
3,12,1965,163.75,1.40170030488
4,13,1765,135.769230769,1.10758373708
5,10,2095,209.5,1.07378410642
6,16,1905,119.0625,0.980265785363
7,10,1985,198.5,1.00838262082
8,15,2360,157.333333333,0.91792006908
9,17,1800,105.882352941,0.870859075449
10,12,2280,190.0,0.820909370882
11,10,2275,227.5,0.826697881501
12,12,2340,195.0,0.787085841512
13,10,2095,209.5,0.821185715245
14,16,2225,139.0625,0.855332377506
15,12,1735,144.583333333,0.786088845572
16,14,1900,135.714285714,0.789775784612
17,9,1455,161.666666667,0.825948965019
18,13,2450,188.461538462,0.827137087407
19,12,1970,164.166666667,0.770812187931
20,14,2470,176.428571429,0.746005990971
21,11,1515,137.727272727,0.769501791215
22,11,1925,175.0,0.759892536849
23,16,2045,127.8125,0.805832704874
24,6,1365,227.5,0.792386026885
25,9,1935,215.0,0.791788761672
26,17,2120,124.705882353,0.762231935328
27,7,730,104.285714286,0.774225691259
28,15,2440,162.666666667,0.750745155178
29,9,2000,222.222222222,0.769335395079
30,13,2445,188.076923077,0.786457408015
31,9,1045,116.111111111,0.813474449888
32,12,2340,195.0,0.807544269152
33,10,1460,146.0,0.785215865541
34,4,645,161.25,0.763150748322
35,9,2775,308.333333333,0.729709460884
36,1,90,90.0,0.756161287976
37,12,2745,228.75,0.753781170305
38,6,865,144.166666667,0.792364246789
39,9,2580,286.666666667,0.729446857395
40,10,2295,229.5,0.748467206676
41,15,2825,188.333333333,0.737354942746
42,10,2315,231.5,0.773671471523
43,11,2130,193.636363636,0.750268686926
44,16,2540,158.75,0.748066791203
45,16,2400,150.0,0.820617065141
46,11,2185,198.636363636,0.765616677431
47,12,1940,161.666666667,0.717515839953
48,15,2240,149.333333333,0.749819031376
49,15,2930,195.333333333,0.715729987714
50,12,2205,183.75,0.758260737956
51,10,2830,283.0,0.715930366619
52,15,2160,144.0,0.669429147057
53,10,2260,226.0,0.80132733129
54,16,2510,156.875,0.760033556521
55,13,1800,138.461538462,0.776513736174
56,13,2250,173.076923077,0.768008043906
57,15,2285,152.333333333,0.759304538853
58,17,2810,165.294117647,0.709258149974
59,11,1430,130.0,0.75240323103
60,14,2345,167.5,0.743493916141
61,12,2215,184.583333333,0.744499913966
62,17,2070,121.764705882,0.787167521762
63,14,2990,213.571428571,0.721157212788
64,10,1775,177.5,0.706570809148
65,11,2570,233.636363636,0.717498118663
66,16,2370,148.125,0.714885329157
67,21,2540,120.952380952,0.729055081448
68,16,2570,160.625,0.701161442529
69,11,2900,263.636363636,0.812874026597
70,13,2015,155.0,0.764449171256
71,15,2255,150.333333333,0.683841207204
72,18,2810,156.111111111,0.723121670224
73,17,1945,114.411764706,0.736248194547
74,4,665,166.25,0.744333357615
75,15,2430,162.0,0.733400341449
76,11,2265,205.909090909,0.731767580835
77,17,2335,137.352941176,0.751972666634
78,7,1650,235.714285714,0.775037061097
79,20,2310,115.5,0.718766806368
80,15,2355,157.0,0.779743340835
81,12,2250,187.5,0.774873408759
82,13,2780,213.846153846,0.762216493124
83,15,2635,175.666666667,0.743460272411
84,18,2245,124.722222222,0.74746478661
85,21,2345,111.666666667,0.792872660616
86,19,2325,122.368421053,0.763623400545
87,13,2445,188.076923077,0.733441790286
88,16,1985,124.0625,0.759787899544
89,11,2160,196.363636364,0.761786004398
90,18,3255,180.833333333,0.721654430171
91,13,1975,151.923076923,0.768289682642
92,22,2835,128.863636364,0.710511203352
93,12,2230,185.833333333,0.75026910861
94,20,2635,131.75,0.746145513905
95,13,2250,173.076923077,0.75870092188
96,3,655,218.333333333,0.802758603077
97,15,2125,141.666666667,0.732995125176
98,17,2635,155.0,0.729240595689
99,21,2510,119.523809524,0.750536939325
100,16,1950,121.875,0.738588980911
