mean_loss,epsilon
0.123837210238,0.9993088
0.0986158624291,0.9987229
0.0983377546072,0.9973117
0.104800514877,0.9970264
0.107202813029,0.9964972
0.103483311832,0.9959779
0.103623688221,0.9950221
0.107901081443,0.9940852
0.10430329293,0.9932482
0.108085244894,0.9926083
0.109605081379,0.9917065
0.110443472862,0.9911278
0.115612998605,0.9907021
0.113917537034,0.9898975
0.112366229296,0.9881857
0.113532014191,0.9870976
0.115949496627,0.9867241
0.121787153184,0.986302
0.119455859065,0.985708
0.119719654322,0.9848188
0.118534892797,0.984250900001
0.122195892036,0.983146600001
0.124019995332,0.982313200001
0.124026633799,0.981144100001
0.119033679366,0.979796800001
0.11803586036,0.978529600001
0.119419880211,0.977821300001
0.122355021536,0.977008600001
0.119991980493,0.976483000001
0.121000938118,0.975173500001
0.118029788136,0.973753300001
0.121290534735,0.973076500001
0.120061568916,0.971768800001
0.119651563466,0.970975900001
0.12421644479,0.969811300001
0.122465051711,0.968988700001
0.123933658004,0.967998700001
0.121252991259,0.966328300001
0.120404683053,0.965274400001
0.121262587607,0.964432900001
0.122187428176,0.963667000001
0.120084747672,0.963016300001
0.119431599975,0.962515000001
0.118682563305,0.961711300001
0.121140159667,0.960647500001
0.119029328227,0.959878900001
0.117545939982,0.958970800001
0.120532222092,0.958362400001
0.117553114891,0.957140200001
0.120073512197,0.956283400001
0.118594445288,0.955415800001
0.12054425478,0.955141300001
0.119379200041,0.953872300002
0.120925486088,0.953258500002
0.118036337197,0.952924600002
0.120978951454,0.952251400002
0.119715847075,0.952032700002
0.119461208582,0.951159700002
0.12082580477,0.950716000002
0.118571102619,0.949763800002
0.118394255638,0.948474100002
0.115600794554,0.947363500002
0.119071915746,0.946538200002
0.117694400251,0.945086500002
0.119343593717,0.944546500002
0.11640175432,0.944076700002
0.119648136199,0.943703200002
0.118849292397,0.942985000002
0.117105707526,0.941991400002
0.11845638603,0.941329900002
0.116871133447,0.940039300002
0.120219014585,0.939636100002
0.115637645125,0.939301300002
0.116655118763,0.938813500002
0.119179464877,0.937981900002
0.116291299462,0.936748900002
0.11515686661,0.936133300002
0.118329271674,0.935740000002
0.116943575442,0.935159500002
0.116489998996,0.934384600002
0.115624822676,0.933130000002
0.11596057564,0.931794400002
